Flow Duration,Total Fwd Packets,Total Backward Packets,Packet Length Mean,Packets/s,SYN Flag Count,ACK Flag Count,Average Packet Size,Idle Mean,Attack Type
160133,29,33,776.100670837247,119.142983615719,1,10,766.163016256325,1629.48633339964,Normal Traffic
17341,619,219,779.155855681187,9915.09242370667,24,275,1037.71251927629,341.364252496926,HTTP Flood
80355,33,24,595.468258681716,28.7600693077065,1,17,580.249638787881,3125.35981294644,Normal Traffic
22031,1190,496,1125.80689376169,4441.89671182674,35,766,501.902843224856,262.889346716233,HTTP Flood
580,4336,1,75.5464942208658,24519.3110833188,0,1,233.275304838481,25.5897458350596,UDP Flood
62185,18,36,201.26230590553,12.7793691867584,1,5,644.401210602458,1039.87693893807,Normal Traffic
2750,1497,5,75.3366189104409,16726.1878822291,4167,0,49.543966448145,66.7756025198536,SYN Flood
135981,42,6,744.1656853009,21.5149324658329,0,12,717.442548247743,2070.67374877719,Normal Traffic
84754,44,18,549.790655698761,185.758963315173,2,9,363.947269906489,3798.11148161029,Normal Traffic
162221,48,5,617.478486593267,158.374677713357,2,8,750.949111192733,3452.68144297247,Normal Traffic
32172,1230,393,406.094505973637,6882.79651490409,23,520,680.141553798975,220.237210842566,HTTP Flood
46645,1904,76,765.941772436876,3518.08827539237,61,507,1457.71444871059,275.402567271458,HTTP Flood
15746,2546,3,71.4960450546081,19823.0523909046,4866,2,90.7562511804483,30.4579947087249,SYN Flood
12882,1452,0,56.1562254583125,7878.15069653535,1130,0,67.2180193217914,96.933012535166,SYN Flood
16240,1023,375,794.737398332185,8726.53869495896,67,633,710.212033898861,248.977554676193,HTTP Flood
51817,1228,153,1142.64695790252,8500.19602686582,80,354,1430.87686752911,435.940406766671,HTTP Flood
14948,2723,2,90.820722123345,9984.64866109939,2369,0,116.778147043117,62.0874187556801,SYN Flood
169180,39,19,484.040528896948,61.8604989989827,1,7,369.402278594337,2050.04116193266,Normal Traffic
51015,21,10,726.413367323156,156.978699328837,2,14,390.231809551449,4937.28791525617,Normal Traffic
52368,18,8,655.766857219878,116.319982348415,0,12,937.137286901287,1005.71337231671,Normal Traffic
2234,1803,5,54.5386363832469,9706.02888266981,1586,3,94.5437449027509,54.6279104790284,SYN Flood
17158,2040,9,68.3368578597281,18418.0827836089,1832,3,113.747639963823,45.2533644029301,SYN Flood
77145,1869,80,457.656367007013,6164.75562268228,19,442,1098.0995410755,349.339377296239,HTTP Flood
1011,1551,4,85.1125746621515,8584.79881633515,3368,0,54.6771403175079,94.3503535633239,SYN Flood
1303,2686,3,99.0217809417974,26713.2120626342,1,0,166.836768475094,48.5076981295861,UDP Flood
182874,39,22,675.512835177751,88.6272184109512,1,9,312.248749791172,1341.6099371635,Normal Traffic
49070,1998,107,501.189380042954,4744.85085648304,59,189,532.42777292369,211.877879123883,HTTP Flood
34660,1264,441,1111.35968142076,9242.67789947577,47,817,887.384899469361,410.425519332601,HTTP Flood
11700,3738,0,145.643306817946,20980.2743020213,0,1,165.469108279803,4.72419375894818,UDP Flood
12441,2955,1,63.4999925727285,16427.0788243243,1214,0,94.6223600155304,83.5217260608769,SYN Flood
12549,1453,4,197.262845809095,8210.35768271052,0,0,224.614206680504,36.148759675431,UDP Flood
7312,1175,5,42.3671171753615,13447.9713867224,2226,0,119.245217020539,74.0304790755982,SYN Flood
47713,982,247,1142.74022597231,7214.5665923153,69,784,1476.95920681199,194.098884649888,HTTP Flood
13487,4125,2,162.130535700114,11054.5161360557,1,1,222.082240738733,6.93105316837448,UDP Flood
6081,2421,2,80.8158149299376,24490.8983816899,1,1,196.738005252957,35.8863933627301,UDP Flood
169101,35,36,548.132911271018,98.5068931123937,2,6,878.473218120389,3958.25299244507,Normal Traffic
198056,9,22,423.320235095132,120.427130506982,1,14,639.686719639835,2098.82013122857,Normal Traffic
18591,1139,6,43.3290365240746,8657.58649543911,4652,2,44.1243898613001,90.8153943227503,SYN Flood
12394,2397,1,109.73297242627,10445.7253205845,0,1,180.776713377218,6.14438947306945,UDP Flood
33251,1978,276,354.135795366338,8236.87158010175,26,128,765.039089494523,495.686340955456,HTTP Flood
6330,3577,1,168.801407152126,18296.7632443,0,1,155.787061727538,49.4682321275931,UDP Flood
14411,2163,6,67.0897563471667,17885.6949455998,1660,4,118.008152088016,50.9776844703513,SYN Flood
20884,1187,98,473.976550905549,6590.74219850698,96,714,1268.31004123692,437.29924076911,HTTP Flood
89749,16,26,294.395768001097,189.883646683004,2,14,746.181736846455,3676.21406126779,Normal Traffic
74311,450,469,1153.61457987264,5837.16133242102,94,524,993.974653275481,450.040261365882,HTTP Flood
15810,540,347,335.896663337699,1917.10022402475,65,984,805.041212581391,439.671402804391,HTTP Flood
3693,2419,8,49.1732269388799,9437.2004412704,4787,0,79.0814683144661,40.6538313887013,SYN Flood
156308,26,41,664.123334920738,174.998049708863,2,11,874.881594260992,1991.24977162763,Normal Traffic
160989,27,27,329.630819007012,166.924364390046,2,13,907.599714326563,4869.31244541388,Normal Traffic
